No.,Time,Source,Destination,Protocol,Length,Info,Frame Type,Frame Control Field
1,0,0x0014,0x0007,IEEE 802.15.4,50,"Data, Dst: 0x0007, Src: 0x0014",0x00000001,0x00008861
2,2.095706,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
3,2.095989,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
4,4.372202,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
5,4.372567,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
6,6.649577,fe80::ff:fe00:6e,::3131:2c32:342e:3030,IPv6,48,IPv6 no next header,0x00000001,0x00008861
7,6.649876,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
8,8.922294,fe80::ff:fe00:6e,::3131:2c32:342e:3030,IPv6,48,IPv6 no next header,0x00000001,0x00008861
9,8.922595,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
10,11.199612,fe80::ff:fe00:6e,::3131:2c32:342e:3030,IPv6,48,IPv6 no next header,0x00000001,0x00008861
11,11.199948,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
12,13.476488,fe80::ff:fe00:6e,::3131:2c32:342e:3030,IPv6,48,IPv6 no next header,0x00000001,0x00008861
13,13.476851,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
14,15.749441,fe80::ff:fe00:6e,::3131:2c32:342e:3030,IPv6,48,IPv6 no next header,0x00000001,0x00008861
15,15.74981,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
16,18.027193,fe80::ff:fe00:6e,::3131:2c32:342e:3030,IPv6,48,IPv6 no next header,0x00000001,0x00008861
17,18.027555,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
18,20.300402,fe80::ff:fe00:6e,::3131:2c32:342e:3030,IPv6,48,IPv6 no next header,0x00000001,0x00008861
19,20.300735,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
20,22.576921,fe80::ff:fe00:6e,::3131:2c32:342e:3030,IPv6,48,IPv6 no next header,0x00000001,0x00008861
21,22.577388,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
22,24.854646,fe80::ff:fe00:6e,::3131:2c32:342e:3030,IPv6,48,IPv6 no next header,0x00000001,0x00008861
23,24.854946,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
24,26.558261,00:0d:6f:cd:d3:91:bb:e7,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
25,26.609355,00:0d:6f:cd:d3:91:bb:e7,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
26,26.614335,00:30:66:08:cc:e0:4d:a1,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
27,26.66561,00:30:66:08:cc:e0:4d:a1,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
28,26.670939,00:04:9f:a5:b9:5b:bf:5b,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
29,26.722485,00:04:9f:a5:b9:5b:bf:5b,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
30,26.727599,00:0d:6f:9f:10:07:45:1c,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
31,26.779242,00:0d:6f:9f:10:07:45:1c,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
32,26.784077,00:0d:6f:b7:0b:0c:3b:bb,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
33,26.835461,00:0d:6f:b7:0b:0c:3b:bb,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
34,26.840605,00:04:a3:3a:cd:f7:df:43,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
35,26.892364,00:04:a3:3a:cd:f7:df:43,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
36,26.89733,00:04:25:33:74:f4:bd:ce,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
37,26.948953,00:04:25:33:74:f4:bd:ce,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
38,26.953977,00:04:9f:2c:dd:11:05:e7,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
39,27.005351,00:04:9f:2c:dd:11:05:e7,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
40,27.010358,00:0d:6f:a8:26:3f:3b:d5,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
41,27.062102,00:0d:6f:a8:26:3f:3b:d5,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
42,27.067231,00:13:a2:e3:4e:df:fe:1e,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
43,27.119327,00:13:a2:e3:4e:df:fe:1e,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
44,27.124427,00:30:66:39:f5:5e:e9:ed,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
45,27.127318,fe80::ff:fe00:6e,::3131:2c32:342e:3030,IPv6,48,IPv6 no next header,0x00000001,0x00008861
46,27.127667,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
47,27.176182,00:30:66:39:f5:5e:e9:ed,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
48,27.181303,00:0b:57:ed:97:e7:f7:28,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
49,27.233201,00:0b:57:ed:97:e7:f7:28,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
50,27.238301,00:30:66:2e:e3:4f:66:ba,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
51,27.289702,00:30:66:2e:e3:4f:66:ba,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
52,27.294675,00:30:66:b3:9e:19:33:8d,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
53,27.346559,00:30:66:b3:9e:19:33:8d,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
54,27.351556,00:04:a3:bc:cf:fa:c7:94,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
55,27.40296,00:04:a3:bc:cf:fa:c7:94,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
56,27.407826,00:04:25:54:8e:4d:0a:c3,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
57,27.459721,00:04:25:54:8e:4d:0a:c3,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
58,27.464585,00:04:a3:ec:cf:6c:78:51,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
59,27.516092,00:04:a3:ec:cf:6c:78:51,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
60,27.521326,00:12:4b:57:c4:5d:92:e8,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
61,27.572629,00:12:4b:57:c4:5d:92:e8,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
62,27.577328,00:12:4b:92:a1:e7:1e:55,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
63,27.628458,00:12:4b:92:a1:e7:1e:55,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
64,27.633423,00:30:66:e9:ca:89:7a:2d,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
65,27.68483,00:30:66:e9:ca:89:7a:2d,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
66,27.689815,00:12:4b:c2:78:ee:54:1e,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
67,27.741591,00:12:4b:c2:78:ee:54:1e,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
68,27.746593,00:0d:6f:ba:ce:11:08:b9,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
69,27.798329,00:0d:6f:ba:ce:11:08:b9,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
70,27.803338,00:04:a3:27:26:c1:76:7d,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
71,27.854938,00:04:a3:27:26:c1:76:7d,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
72,27.859836,00:04:25:a1:2d:8c:7c:b1,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
73,27.911607,00:04:25:a1:2d:8c:7c:b1,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
74,27.916573,00:0d:6f:0b:70:4c:a3:94,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
75,27.968814,00:0d:6f:0b:70:4c:a3:94,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
76,27.973806,00:11:7d:08:63:a3:fc:1e,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
77,28.025346,00:11:7d:08:63:a3:fc:1e,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
78,28.030105,00:30:66:43:b9:a2:d8:12,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
79,28.081433,00:30:66:43:b9:a2:d8:12,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
80,28.086425,00:30:66:60:e4:f0:7b:d9,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
81,28.13806,00:30:66:60:e4:f0:7b:d9,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
82,28.143127,00:21:ed:cc:74:d1:59:42,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
