No.,Time,Source,Destination,Protocol,Length,Info,Frame Type,Frame Control Field
1,0,00:0b:57:d6:d0:0f:ad:25,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
2,0.00498,00:04:a3:cd:29:fd:cf:37,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
3,0.056328,00:04:a3:cd:29:fd:cf:37,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
4,0.061271,00:12:4b:b9:40:cc:cc:75,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
5,0.1017,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
6,0.101998,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
7,0.113102,00:12:4b:b9:40:cc:cc:75,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
8,0.118136,00:0d:6f:f4:7f:01:fc:e8,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
9,0.169677,00:0d:6f:f4:7f:01:fc:e8,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10,0.174495,00:30:66:ec:3f:7d:d7:63,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
11,0.226202,00:30:66:ec:3f:7d:d7:63,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
12,0.23101,00:21:ed:8e:f6:24:83:c5,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
13,0.282792,00:21:ed:8e:f6:24:83:c5,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
14,0.28789,00:13:a2:1e:a6:b2:2c:42,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
15,0.339301,00:13:a2:1e:a6:b2:2c:42,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
16,0.344308,00:0b:57:ce:92:b6:a5:23,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
17,0.396064,00:0b:57:ce:92:b6:a5:23,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
18,0.401009,00:21:ed:7a:90:f6:a9:73,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
19,0.452416,00:21:ed:7a:90:f6:a9:73,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
20,0.457402,00:04:25:81:61:4e:19:8b,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
21,0.508941,00:04:25:81:61:4e:19:8b,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
22,0.514036,00:04:9f:8d:d5:a9:1c:5a,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
23,0.565791,00:04:9f:8d:d5:a9:1c:5a,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
24,0.570797,00:21:ed:60:35:d3:a8:04,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
25,0.622157,00:21:ed:60:35:d3:a8:04,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
26,0.627155,00:04:a3:64:fe:69:6c:40,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
27,0.67893,00:04:a3:64:fe:69:6c:40,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
28,0.683904,00:0d:6f:8c:ea:9d:d4:55,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
29,0.735784,00:0d:6f:8c:ea:9d:d4:55,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
30,0.740905,00:11:7d:5a:75:97:fd:66,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
31,0.792495,00:11:7d:5a:75:97:fd:66,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
32,0.797425,00:04:25:23:74:71:a9:0a,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
33,0.849002,00:04:25:23:74:71:a9:0a,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
34,0.853936,00:04:25:1f:b5:46:67:88,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
35,0.905326,00:04:25:1f:b5:46:67:88,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
36,0.910323,00:04:9f:b7:0c:3a:e5:98,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
37,0.961944,00:04:9f:b7:0c:3a:e5:98,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
38,0.967035,00:21:ed:20:3c:41:b3:ed,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
39,1.018928,00:21:ed:20:3c:41:b3:ed,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
40,1.0239,00:21:ed:9c:a5:2a:ce:ee,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
41,1.075741,00:21:ed:9c:a5:2a:ce:ee,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
42,1.080728,00:21:ed:c8:cb:9f:83:51,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
43,1.132245,00:21:ed:c8:cb:9f:83:51,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
44,1.137198,00:21:ed:0f:95:e8:f4:fa,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
45,1.188583,00:21:ed:0f:95:e8:f4:fa,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
46,1.193542,00:04:25:a2:a3:01:1f:31,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
47,1.245344,00:04:25:a2:a3:01:1f:31,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
48,1.250433,00:04:9f:91:aa:fc:b3:92,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
49,1.30196,00:04:9f:91:aa:fc:b3:92,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
50,1.307081,00:11:7d:1e:8e:a6:34:09,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
51,1.358734,00:11:7d:1e:8e:a6:34:09,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
52,1.363677,00:13:a2:a1:08:79:3f:7d,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
53,1.415205,00:13:a2:a1:08:79:3f:7d,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
54,1.420189,00:12:4b:b6:74:37:13:a1,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
55,1.471457,00:12:4b:b6:74:37:13:a1,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
56,1.476529,00:0b:57:ab:fb:d7:c0:23,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
57,1.52835,00:0b:57:ab:fb:d7:c0:23,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
58,1.533328,00:21:ed:e4:74:61:6f:87,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
59,1.584906,00:21:ed:e4:74:61:6f:87,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
60,1.590172,00:12:4b:af:10:10:fd:07,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
61,1.641671,00:12:4b:af:10:10:fd:07,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
62,1.646691,00:04:9f:27:6a:c8:33:07,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
63,1.698434,00:04:9f:27:6a:c8:33:07,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
64,1.703303,00:11:7d:87:ae:11:08:d7,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
65,1.754798,00:11:7d:87:ae:11:08:d7,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
66,1.759792,00:04:9f:fc:66:e7:50:52,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
67,1.811434,00:04:9f:fc:66:e7:50:52,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
68,1.816543,00:0b:57:69:d6:be:c7:22,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
69,1.868139,00:0b:57:69:d6:be:c7:22,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
70,1.873053,00:30:66:40:f0:9f:30:d2,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
71,1.924528,00:30:66:40:f0:9f:30:d2,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
72,1.929506,00:04:9f:ac:3a:78:ec:32,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
73,1.981106,00:04:9f:ac:3a:78:ec:32,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
74,1.986133,00:0d:6f:5c:7c:f5:4b:c6,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
75,2.037457,00:0d:6f:5c:7c:f5:4b:c6,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
76,2.042518,00:04:a3:a6:30:3c:51:31,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
77,2.094014,00:04:a3:a6:30:3c:51:31,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
78,2.098899,00:04:25:22:7e:54:0a:09,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
79,2.150664,00:04:25:22:7e:54:0a:09,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
80,2.155656,00:21:ed:e2:03:a8:23:9a,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
81,2.207218,00:21:ed:e2:03:a8:23:9a,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
82,2.212185,00:0b:57:ff:2a:54:fe:68,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
83,2.26383,00:0b:57:ff:2a:54:fe:68,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
84,2.268714,00:21:ed:4c:3c:bf:06:e5,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
85,2.320207,00:21:ed:4c:3c:bf:06:e5,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
86,2.325267,00:04:9f:e6:78:f5:b2:be,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
87,2.377337,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005, Bad FCS",0x00000001,0x00008861
88,2.377751,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
89,2.381754,00:13:a2:4e:34:f2:23:24,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
90,2.433412,00:13:a2:4e:34:f2:23:24,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
91,2.438513,00:04:25:5c:f9:9e:8e:a8,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
92,2.490015,00:04:25:5c:f9:9e:8e:a8,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
93,2.495012,00:13:a2:f8:e9:d8:01:b6,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
94,2.546662,00:13:a2:f8:e9:d8:01:b6,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
95,2.551636,00:30:66:e4:74:d9:97:59,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
96,2.603306,00:30:66:e4:74:d9:97:59,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
97,2.608441,00:12:4b:ce:7f:b1:e6:18,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
98,2.659953,00:12:4b:ce:7f:b1:e6:18,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
99,2.665053,00:04:9f:c2:7c:9b:f4:c1,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
100,2.716559,00:04:9f:c2:7c:9b:f4:c1,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
101,2.721536,00:13:a2:86:67:e4:45:4f,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
102,2.772937,00:13:a2:86:67:e4:45:4f,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
103,2.777903,00:0d:6f:df:a4:4c:b3:a6,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
104,2.829599,00:0d:6f:df:a4:4c:b3:a6,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
105,2.834535,00:13:a2:eb:a0:4c:4f:48,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
106,2.886309,00:13:a2:eb:a0:4c:4f:48,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
107,2.891263,00:21:ed:f6:b0:2b:4b:a4,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
108,2.942804,00:21:ed:f6:b0:2b:4b:a4,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
109,2.94763,00:04:9f:f1:19:59:ce:e2,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
110,2.999553,00:04:9f:f1:19:59:ce:e2,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
111,3.004428,00:a0:50:c1:30:f2:83:de,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
112,3.055663,00:a0:50:c1:30:f2:83:de,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
113,3.06066,00:12:4b:e4:0c:91:e7:54,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
114,3.112433,00:12:4b:e4:0c:91:e7:54,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
115,3.117282,00:04:25:b3:16:59:e2:9f,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
116,3.16906,00:04:25:b3:16:59:e2:9f,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
117,3.174778,00:21:ed:3f:b6:d9:f7:96,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
118,3.226178,00:21:ed:3f:b6:d9:f7:96,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
