No.,Time,Source,Destination,Protocol,Length,Info,Frame Type,Frame Control Field
1,0,0x0005,0x0008,6LoWPAN,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
2,0.426306,0x0005,0x0008,LwMesh,48,Encrypted data (24 byte(s)) NO DECRYPT KEY,0x00000001,0x00008861
3,0.42657,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
4,2.703484,0x0005,0x0008,LwMesh,48,Encrypted data (24 byte(s)) NO DECRYPT KEY,0x00000001,0x00008861
5,2.703781,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
6,4.980548,0x0005,0x0008,LwMesh,48,"Lightweight Mesh, Nwk_Dst: 0x6564, Nwk_Src: 0x6f6e",0x00000001,0x00008861
7,4.980915,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
8,7.253029,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005, Bad FCS",0x00000001,0x00008861
9,7.253353,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
10,9.530688,0x0005,0x0008,LwMesh,48,Encrypted data (24 byte(s)) NO DECRYPT KEY,0x00000001,0x00008861
11,9.531132,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
12,11.804008,0x0005,0x0008,LwMesh,48,Encrypted data (24 byte(s)) NO DECRYPT KEY,0x00000001,0x00008861
13,11.804487,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
14,14.081412,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
15,14.081646,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
16,16.354961,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
17,16.355258,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
18,18.632931,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
19,18.633245,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
20,20.906165,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
21,20.906596,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
22,23.183642,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
23,23.183955,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
24,25.457389,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
25,25.457845,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
26,27.735094,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
27,27.735578,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
28,30.0082,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
29,30.008524,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
30,32.284821,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
31,32.28511,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
32,34.562299,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
33,34.562586,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
34,36.834651,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
35,36.835111,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
36,39.112744,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
37,39.113055,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
38,41.386098,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
39,41.38639,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
40,43.664334,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
41,43.664673,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
42,45.936914,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
43,45.937353,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
44,48.214774,0x0005,0x0008,IEEE 802.15.4,48,"Data, Dst: 0x0008, Src: 0x0005",0x00000001,0x00008861
45,48.215085,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
